Dzielnica,Metraż,Pokoje,Piętro,Cena
Włochy,45.0,2,2,854415.0
Mokotów,34.42,2,2,716492.0
Mokotów,80.06,4,2,1340000.0
Mokotów,39.0,2,2,740970.0
Białołęka,80.0,3,2,598000.0
Wilanów,84.0,4,2,1990000.0
Śródmieście,46.39,3,2,1200000.0
Białołęka,119.1,4,2,1950039.0
Białołęka,36.93,2,2,542871.0
Mokotów,51.85,2,2,1150000.0
Wola,66.89,2,2,2500000.0
Mokotów,37.45,2,2,1000000.0
Ursus,43.0,2,2,664500.0
Ursus,34.0,2,2,545790.0
Śródmieście,111.63,3,2,3572160.0
Śródmieście,134.3,3,2,3900000.0
Praga-Południe,52.1,2,2,779000.0
Ursynów,32.0,1,2,650000.0
Białołęka,72.0,4,2,12318.0
Praga-Południe,45.4,2,2,580000.0
Wilanów,53.0,2,2,1225000.0
Mokotów,49.6,2,2,899000.0
Inna,65.15,4,2,729000.0
Wola,37.0,2,2,690000.0
Ursus,38.34,2,2,657573.0
Ursynów,0.87,4,2,1500000.0
Praga-Południe,34.0,2,2,649000.0
Białołęka,30.7,1,2,460000.0
Ursynów,67.0,3,2,1399000.0
Ochota,41.66,2,2,719000.0
Bielany,49.38,2,2,939000.0
Wesoła,90.0,4,2,990000.0
Ursus,84.48,4,2,1250000.0
Bemowo,79.0,4,2,15600.0
Śródmieście,46.39,3,2,1200000.0
Ochota,50.0,3,2,970000.0
Żoliborz,46.67,2,2,1420000.0
Wilanów,81.9,3,2,1690000.0
Bemowo,79.0,4,2,15600.0
Śródmieście,41.0,2,2,770000.0
Białołęka,89.0,4,2,10900.0
Wola,92.0,4,2,20990.0
Praga-Północ,65.0,4,2,19900.0
Bemowo,109.0,3,2,17252.0
Białołęka,72.0,4,2,13283.0
Bielany,48.0,3,2,880000.0
Ochota,46.6,3,2,829000.0
Białołęka,36.0,2,2,705000.0
Mokotów,76.84,3,2,1649000.0
Bemowo,49.9,2,2,750000.0
Śródmieście,19.73,1,2,470000.0
Wola,54.5,3,2,1290000.0
Mokotów,62.55,3,2,1500000.0
Ochota,27.02,1,2,635000.0
Ursynów,191.28,5,2,2200000.0
Mokotów,56.3,3,2,795000.0
Mokotów,57.4,2,2,1430000.0
Wola,68.0,2,2,1926434.0
Ursus,30.0,1,2,466978.0
Wola,56.06,3,2,1280000.0
Wola,65.45,3,2,1390000.0
Praga-Północ,86.4,4,2,1468800.0
Ursus,50.0,3,2,747086.0
Śródmieście,41.0,2,2,770000.0
Ursus,50.67,3,2,754983.0
Białołęka,84.0,4,2,13349.0
Białołęka,64.27,4,2,818287.0
Ursynów,135.0,5,2,2536583.0
Ursus,34.0,2,2,545790.0
Praga-Północ,36.1,1,2,525000.0
Białołęka,59.99,3,2,818264.0
Śródmieście,39.0,2,2,1100000.0
Targówek,55.7,4,2,799000.0
Targówek,47.0,2,2,580000.0
Ursus,35.06,2,2,599000.0
Włochy,82.0,4,2,1267171.0
Włochy,67.0,3,2,16016.0
Ursus,59.0,4,2,17924.0
Bielany,111.0,4,2,21200.0
Mokotów,51.84,2,2,1508544.0
Ursynów,130.0,5,2,23000.0
Bielany,59.0,3,2,21750.0
Ursus,50.67,3,2,754983.0
Białołęka,39.03,4,2,850000.0
Ursus,58.72,3,2,951264.0
Wola,38.0,2,2,720000.0
Ursus,42.64,2,2,656433.0
Ursus,32.03,1,2,514991.0
Ursus,26.86,1,2,458222.0
Mokotów,53.0,3,2,910000.0
Praga-Północ,64.0,3,2,14902.0
Białołęka,59.0,3,2,13215.0
Mokotów,120.0,5,2,16844.0
Praga-Północ,66.0,4,2,1451000.0
Śródmieście,22.0,1,2,459000.0
Żoliborz,47.0,4,2,845000.0
Rembertów,26.65,2,2,380000.0
Wola,50.6,3,2,1040000.0
Wola,49.0,2,2,949000.0
Białołęka,46.5,2,2,740000.0
Wola,43.98,2,2,879000.0
Targówek,56.0,2,2,859000.0
Praga-Południe,59.0,3,2,925000.0
Białołęka,64.8,3,2,899000.0
Śródmieście,60.49,2,2,2957961.0
Mokotów,52.8,3,2,660000.0
Bemowo,107.0,4,2,17237.0
Wola,60.6,2,2,1199000.0
Białołęka,82.0,4,2,12245.0
Białołęka,54.08,3,2,716516.0
Białołęka,59.28,4,2,985530.0
Białołęka,39.03,4,2,850000.0
Wawer,54.0,3,2,14062.0
Białołęka,101.0,3,2,12997.0
Mokotów,109.0,4,2,18374.0
Białołęka,59.0,4,2,16624.0
Targówek,73.0,4,2,13902.0
Ursus,26.5,1,2,463170.0
Wawer,77.68,4,2,949000.0
Ursus,34.0,2,2,540067.0
Ochota,84.0,3,2,1390000.0
Ursus,50.0,3,2,747086.0
Śródmieście,56.9,4,2,907000.0
Praga-Południe,192.0,5,2,3700000.0
Wola,50.55,3,2,909000.0
Wola,51.0,2,2,915000.0
Białołęka,100.0,3,2,1170000.0
Wawer,50.05,2,2,665665.0
Wola,51.59,2,2,849000.0
Mokotów,112.0,4,2,26714.0
Żoliborz,63.1,2,2,999000.0
Mokotów,56.2,3,2,850000.0
Wola,68.0,2,2,1926434.0
Praga-Południe,56.05,3,2,924825.0
Białołęka,40.06,2,2,560439.0
Białołęka,29.95,1,2,494175.0
Mokotów,39.56,2,2,905132.0
Ursus,58.04,3,2,789344.0
Praga-Północ,115.0,5,2,1379999.0
Praga-Południe,71.0,3,2,1299000.0
Bielany,37.0,2,2,629000.0
Wola,31.35,1,2,783000.0
Mokotów,26.0,1,2,515000.0
Wesoła,73.9,3,2,886800.0
Wilanów,56.03,3,2,1081379.0
Praga-Północ,40.86,2,2,715050.0
Ursynów,102.73,4,2,2075146.0
Białołęka,36.16,2,2,538784.0
Mokotów,37.69,2,2,691611.0
Praga-Północ,50.84,3,2,981974.0
Bielany,76.85,4,2,1360245.0
Białołęka,37.98,2,2,589740.0
Białołęka,66.51,3,2,759371.0
Targówek,35.89,2,2,581418.0
Włochy,30.9,1,2,533665.0
Włochy,48.86,2,2,831205.0
Praga-Południe,47.29,2,2,828469.0
Praga-Północ,27.58,1,2,606760.0
Białołęka,59.0,3,2,728040.0
Białołęka,43.36,2,2,661673.0
Białołęka,84.26,4,2,1219201.0
Wola,51.8,2,2,1319000.0
Białołęka,64.89,3,2,885748.0
Bemowo,43.67,2,2,820765.0
Mokotów,120.0,4,2,2021280.0
Białołęka,78.72,4,2,952512.0
Wola,55.1,3,2,1505119.0
Białołęka,59.15,3,2,757458.0
Mokotów,26.16,1,2,421176.0
Wola,68.0,2,2,1926434.0
Ursynów,40.96,2,2,973410.0
Bielany,59.38,2,2,1324174.0
Białołęka,37.54,2,2,555018.0
Bielany,67.56,3,2,1392276.0
Białołęka,40.24,2,2,519000.0
Bielany,37.0,2,2,629000.0
Praga-Północ,72.0,4,2,19095.0
Bielany,48.5,3,2,699000.0
Białołęka,96.21,4,2,1430000.0
Wawer,47.73,2,2,739000.0
Praga-Południe,59.0,2,2,15385.0
Śródmieście,154.0,5,2,32007.0
Bielany,111.0,4,2,21200.0
Białołęka,58.3,4,2,815000.0
Mokotów,164.7,4,2,2700000.0
Wola,41.0,2,2,1050000.0
Ursynów,58.85,2,2,980000.0
Mokotów,37.0,2,2,764000.0
Mokotów,37.0,2,2,764000.0
Ursynów,80.4,3,2,1185500.0
Bielany,113.0,4,2,18400.0
Ochota,47.0,3,2,1020000.0
Białołęka,51.3,2,2,830000.0
Ursus,48.4,2,2,704000.0
Bemowo,55.44,3,2,990000.0
Wola,30.55,1,2,59.0
Mokotów,48.78,2,2,1000000.0
Bielany,24.4,1,2,479000.0
Włochy,51.0,2,2,790000.0
Wawer,85.0,4,2,1150000.0
Żoliborz,125.0,5,2,25443.0
Bielany,48.5,3,2,699000.0
