Dzielnica,Metraż,Pokoje,Piętro,Cena
Wola,21.4,1,2,499000.0
Mokotów,9.5,3,2,1499000.0
Białołęka,59.0,3,2,13215.0
Ursynów,86.47,4,2,1456774.0
Białołęka,101.0,3,2,12997.0
Ursus,59.54,4,2,1091070.0
Praga-Południe,75.28,3,2,1300000.0
Mokotów,40.89,2,2,980133.0
Praga-Północ,29.23,1,2,590446.0
Włochy,55.65,2,2,900138.0
Włochy,93.46,4,2,2229021.0
Śródmieście,71.0,3,2,1990000.0
Praga-Północ,39.0,2,2,770000.0
Praga-Północ,58.25,3,2,1275456.0
Białołęka,77.07,4,2,1310000.0
Ursus,49.0,2,2,719000.0
Wilanów,31.76,1,2,17.0
Wola,41.52,2,2,990000.0
Ursus,44.12,2,2,701508.0
Praga-Południe,28.58,1,2,584600.0
Praga-Północ,72.0,4,2,19095.0
Wola,59.05,3,2,1341000.0
Mokotów,49.76,2,2,1143982.0
Białołęka,54.57,3,2,682125.0
Mokotów,10.0,3,2,849277.0
Inna,115.0,4,2,1119000.0
Targówek,37.9,2,2,470000.0
Śródmieście,55.67,2,2,830000.0
Białołęka,54.09,3,2,727510.0
Włochy,27.63,1,2,522500.0
Bielany,67.67,3,2,1294933.0
Wola,21.4,1,2,499000.0
Bielany,113.0,4,2,18400.0
Białołęka,72.0,4,2,12900.0
Bemowo,61.71,3,2,1033200.0
Śródmieście,50.0,2,2,1090000.0
Praga-Południe,39.19,2,2,834747.0
Białołęka,65.16,3,2,929182.0
Ochota,55.04,2,2,815000.0
Białołęka,66.0,3,2,949999.0
Mokotów,68.0,3,2,1795000.0
Ochota,37.38,2,2,849000.0
Praga-Północ,47.0,3,2,600000.0
Wawer,62.0,3,2,13517.0
Włochy,92.0,5,2,14183.0
Wawer,68.8,3,2,930000.0
Mokotów,37.2,2,2,739900.0
Białołęka,59.18,3,2,804848.0
Wawer,107.59,4,2,1270000.0
Targówek,58.0,3,2,799000.0
Rembertów,47.7,2,2,599000.0
Wola,63.73,3,2,1601000.0
Wola,131.0,4,2,34500.0
Białołęka,75.0,4,2,13305.0
Białołęka,51.5,2,2,717309.0
Bielany,24.0,1,2,430000.0
Śródmieście,77.73,3,2,1950000.0
Ursus,76.41,3,2,1077381.0
Mokotów,31.0,2,2,790000.0
Mokotów,49.5,3,2,677000.0
Żoliborz,45.9,2,2,799000.0
Praga-Południe,32.0,2,2,627200.0
Bielany,42.75,2,2,908523.0
Śródmieście,96.74,4,2,4043084.0
Śródmieście,41.44,2,2,1088000.0
Bielany,26.5,2,2,420000.0
Mokotów,65.5,3,2,1066342.0
Bemowo,36.5,2,2,660000.0
Włochy,75.0,4,2,1167850.0
Ochota,50.0,3,2,970000.0
Targówek,64.0,3,2,808000.0
Mokotów,48.14,2,2,620000.0
Praga-Południe,51.8,2,2,874000.0
Żoliborz,125.0,5,2,25443.0
Białołęka,62.42,3,2,768900.0
Włochy,54.56,3,2,965000.0
Mokotów,84.8,4,2,1185000.0
Śródmieście,46.0,2,2,795000.0
Ursus,62.0,3,2,13400.0
Wola,50.8,2,2,1049000.0
Wola,30.55,1,2,59.0
Białołęka,37.09,2,2,561913.0
Wawer,124.77,5,2,1350000.0
Śródmieście,40.0,1,2,750000.0
Praga-Południe,50.99,2,2,841142.0
Praga-Północ,36.53,2,2,668499.0
Praga-Południe,102.38,2,2,2369192.0
Śródmieście,38.28,2,2,690000.0
Białołęka,51.5,2,2,717309.0
Białołęka,35.3,2,2,537310.0
Mokotów,45.0,2,2,1137500.0
Wola,58.93,3,2,849000.0
Białołęka,41.0,2,2,651900.0
Śródmieście,53.0,2,2,940000.0
Wilanów,67.26,3,2,960000.0
Ochota,48.97,3,2,730000.0
Ochota,116.1,4,2,2300000.0
Śródmieście,38.8,2,2,680000.0
Ochota,129.6,5,2,2350000.0
Bemowo,52.0,2,2,1050000.0
Bielany,42.0,1,2,730000.0
Praga-Południe,76.1,4,2,1040000.0
Mokotów,54.97,3,2,874000.0
Białołęka,65.0,3,2,989000.0
Śródmieście,28.98,1,2,1169000.0
Wilanów,64.19,3,2,1116906.0
Wawer,50.13,2,2,827145.0
Wawer,82.24,3,2,960000.0
Ochota,53.24,2,2,1035000.0
Praga-Południe,85.0,4,2,1300000.0
Mokotów,43.0,2,2,770000.0
Wola,55.6,3,2,830000.0
Bielany,38.0,2,2,580000.0
Mokotów,198.0,5,2,3300000.0
Mokotów,152.6,4,2,5700000.0
Ochota,55.1,3,2,1100000.0
Wola,41.09,1,2,1235000.0
Mokotów,44.0,2,2,790000.0
Wola,54.3,2,2,1190000.0
Praga-Południe,78.52,4,2,1450000.0
Praga-Północ,47.0,3,2,600000.0
Praga-Północ,66.52,3,2,1460000.0
Białołęka,39.47,2,2,647000.0
Bemowo,57.99,3,2,1050600.0
Wawer,54.55,3,2,793730.0
Białołęka,35.3,2,2,537310.0
Praga-Północ,38.82,1,2,690996.0
Wawer,72.43,4,2,968968.0
Białołęka,52.3,3,2,716477.0
Praga-Południe,71.99,3,2,1317417.0
Białołęka,64.0,3,2,12198.0
Wilanów,124.38,4,2,2700000.0
Mokotów,105.96,4,2,3500000.0
Wilanów,108.0,3,2,2150000.0
Mokotów,117.0,5,2,1790000.0
Wilanów,92.0,3,2,1820000.0
Wilanów,88.0,5,2,16800.0
Ursynów,32.09,2,2,886165.0
Wilanów,51.52,3,2,913965.0
Wawer,76.02,4,2,931245.0
Białołęka,39.1,4,2,850000.0
Mokotów,108.02,5,2,1995237.0
Praga-Północ,59.0,3,2,1399000.0
Praga-Południe,84.61,4,2,1800000.0
Targówek,57.2,3,2,799000.0
Ursus,59.44,3,2,1086266.0
Ursynów,44.78,2,2,695827.0
Białołęka,81.59,4,2,1084981.0
Inna,115.0,4,2,1119000.0
Mokotów,62.4,3,2,1498000.0
Bemowo,43.55,2,2,792610.0
